64	0.054	0.169	0.121	0.041
128	0.109	0.661	0.212	0.054
256	0.141	3.054	0.420	1.278
512	0.309	11.661	0.793	1.340
1024	0.517	40.161	1.580	1.592
2048	1.535	171.335	3.241	2.352
4096	7.889	637.938	18.178	7.127
8192	35.287	2588.626	38.402	36.044

