# task  barrier	spmi	zmpi	kvs
1	0.15	4	0.2	10801
2	0.21	4	0.5	41101
4	0.22	5	1.7	161501
8	0.25	7	4.7	642301
16	0.53	13	14	2563901
32	0.98	29	59	10247102
64	1.22	28	280	40973506
128	2.12	156	1266	163866309
